id,geom,active,available_vehicles,max_vehicles,name,translated_name,total_vehicles
13,POINT (37.581359231571 55.76043778536),1,19,40,Баррикадная,Баррикадная,30
14,POINT (37.637999693698 55.765240659949),1,19,40,Площадь Мясницкие ворота,Площадь Мясницкие ворота,20
15,POINT (37.638925911084 55.764458894838),1,17,40,Чистопрудный бульвар,Чистопрудный бульвар,21
16,POINT (37.62198100423 55.76776101583),1,21,60,Трубная площадь,Трубная площадь,28
17,POINT (37.637507706388 55.729910892875),1,20,40,Павелецкая площадь,Павелецкая площадь,23
18,POINT (37.6285823 55.7418067),1,10,30,Пятницкая,Пятницкая,11
19,POINT (37.625744 55.74078),1,19,50,Климентовский переулок,Климентовский переулок,20
20,POINT (37.619187 55.736413),1,16,70,Большая Полянка,Большая Полянка,20
21,POINT (37.601900108207 55.744828308417),1,19,68,Гоголевский бульвар,Гоголевский бульвар,25
22,POINT (37.623993 55.761723),1,20,40,Кузнецкий Мост,Кузнецкий Мост,21
23,POINT (37.616841468135 55.759086944615),1,18,70,Большая Дмитровка,Большая Дмитровка,24
24,POINT (37.63459553904 55.75394879513),1,20,40,Славянская площадь,Славянская площадь,22
25,POINT (37.408455357275 55.758301951547),1,35,50,Осенний Бульвар,Осенний Бульвар,36
28,POINT (37.512357425447 55.705814129895),1,34,60,Ломоносовский,Ломоносовский,37
30,POINT (37.418316 55.740212),1,36,50,Ельнинская,Ельнинская,37
31,POINT (37.508217999889 55.677532132586),1,35,50,Проспект Вернадского,Проспект Вернадского,36
34,POINT (37.400426535626 55.804984977428),1,26,60,Строгинский Бульвар,Строгинский Бульвар,42
35,POINT (37.529757789197 55.678129437365),1,36,60,Ленинский проспект,Ленинский проспект,37
36,POINT (37.555574659235 55.670588094094),1,36,60,Черемушки,Черемушки,40
37,POINT (37.53738500923 55.69308489912),1,35,50,Университет,Университет,38
