"id";"geom";"address";"is_locked";"station_type";"totalplaces";"rides_per_day"
"351";"POINT (37.572725 55.6880358)";"ул. Дмитрия Ульянова, д.22, к.1 (ст. м. Академическая)";"False";"Велосипед";"18";
"116";"POINT (37.5997612 55.7708538)";"ул. Садовая-Тиумфальная, д.4/10";"False";"Велосипед";"12";
"652";"POINT (37.684929 55.768817)";"2-я Бауманская ул., д.3";"False";"Велосипед";"15";
"477";"POINT (37.663779 55.7888271)";"3-я Рыбинская ул., д.30";"False";"Велосипед";"9";
"273";"POINT (37.60075 55.7107)";"ул. Орджоникидзе (напротив д.5)";"False";"Велосипед";"12";
"51";"POINT (37.58883 55.75285)";"ул. Новый Арбат, д.22";"False";"Велосипед";"12";
"394";"POINT (37.5629419 55.6771438)";"Нахимовский пр-т, д.51/21 (ст. м. Профсоюзная, выход №7)";"False";"Велосипед";"12";
"272";"POINT (37.622305 55.710801)";"ул. Большая Тульская, д.13";"False";"Велосипед";"12";
"539";"POINT (37.714144 55.794816)";"Преображенская пл., д.12 (ст. м. Преображенская площадь)";"False";"Велосипед";"21";
"278";"POINT (37.62041 55.69684)";"Варшавское ш., д.12";"False";"Велосипед";"12";
"426";"POINT (37.57815 55.78834)";"5-я ул. Ямского поля, д.24";"False";"Велосипед";"15";
"424";"POINT (37.57797 55.78045)";"Ленинградский пр-т, д.14, к.1";"False";"Велосипед";"15";
"406";"POINT (37.6002618 55.7798721)";"ул. Новослободская, д.11, стр.1";"False";"Велосипед";"12";
"433";"POINT (37.635781 55.7922984)";"пр-т Мира, д.92, стр.2 (ст. м. Рижская)";"False";"Велосипед";"30";
"364";"POINT (37.5201069 55.6836121)";"ул. Марии Ульяновой, д.16";"False";"Велосипед";"12";
"491";"POINT (37.6944615 55.7940252)";"ул. Стромынка, д.13 (пересеч. с ул. Короленко)";"False";"Велосипед";"15";
"462";"POINT (37.6548139 55.7723539)";"Рязанский пр., Комсомольская пл., д.2";"False";"Велосипед";"12";
"605";"POINT (37.664271 55.7311383)";"3-й Крутицкий пер., д.13, стр.2 (ст. м. Пролетарская)";"False";"Велосипед";"24";
"309";"POINT (37.5710478 55.6651369)";"ул. Болотниковская (парк им. 70-ти летия Победы)";"False";"Велосипед";"12";
"345";"POINT (37.576594 55.708218)";"ул. Косыгина, д.2, стр.19";"False";"Велосипед";"12";
"436";"POINT (37.64036 55.787)";"ул. Большая Переяславская, д.15";"False";"Велосипед";"15";
"292";"POINT (37.5539 55.66923)";"ул. Профсоюзная, д.43 (ст. м. Новые Черёмушки, выход №2)";"False";"Велосипед";"12";
"509";"POINT (37.51517 55.80443)";"Ленинградский пр-т, д.73 (ст. м. Сокол, выход №1)";"False";"Велосипед";"15";
"437";"POINT (37.5660673 55.8818528)";"ул. 800-летия Москвы, д.11, к.1";"True";"Велосипед";"15";
