code,arrivals,average,departures,dayscount_total,geom,slots,name,unique_clients,unique_rides,roundtrips
1,5828,38,5788,153,POINT (37.600716 55.745441),24,"Гоголевский б-р (напротив д.3, ст.м.Кропоткинская)",3197,55,21
2,1933,12,1774,150,POINT (37.600224 55.748696),14,"Гоголевский б-р (напротив д.17, стр.1)",1235,70,23
3,3397,22,3294,153,POINT (37.600593 55.750918),12,Гоголевский б-р (напротив д.33),1928,59,20
4,5270,34,5185,153,POINT (37.601595 55.75348),12,"Никитский б-р (напротив д.8А/3, стр.1)",2636,51,18
5,2160,14,2085,151,POINT (37.600472 55.754924),12,"Никитский б-р (напротив д.11/12, стр.3)",1433,69,21
6,3182,21,3254,152,POINT (37.598457 55.757299),8,Никитский б-р (напротив д.23/14/9),1938,60,16
8,3339,23,3502,153,POINT (37.602162 55.761566),14,"Тверской б-р (напротив д.17, стр.1)",2071,59,22
9,8224,57,8768,153,POINT (37.605123 55.76461),16,Тверской б-р (напротив д.28),4323,49,19
10,4748,31,4813,153,POINT (37.609489 55.766711),10,Страстной б-р (напротив д.8А),2494,52,19
11,3686,24,3696,152,POINT (37.613347 55.768066),8,Страстной б-р (напротив д.16),2116,57,20
12,6465,41,6251,153,POINT (37.622531 55.76715),12,"Цветной б-р (напротив д.1, ст.м.Трубная)",3305,53,24
13,3118,23,3465,153,POINT (37.631618 55.766613),10,пл. Сретенские ворота (напротив д.1),1844,53,17
14,2198,18,2756,153,POINT (37.636464 55.766945),12,"Сретенский б-р, д.11",1292,47,17
15,2472,18,2723,152,POINT (37.636779 55.765328),8,Тургеневская пл. (ст.м.Тургеневская),1366,50,17
16,6008,42,6407,153,POINT (37.639141 55.764719),10,Чистопрудный б-р (ст.м.Чистые пруды),2788,44,18
17,2498,19,2846,152,POINT (37.641142 55.76362),8,"Чистопрудный б-р (напротив  д.8, стр.1)",1502,53,21
18,6382,43,6606,153,POINT (37.64553 55.760306),14,"Чистопрудный б-р (напротив д.12, стр.1)",2613,40,21
19,1740,12,1868,153,POINT (37.647211 55.757313),8,"Покровский б-р (напротив д.8, стр.1)",829,44,22
20,1502,11,1622,152,POINT (37.648355 55.755462),8,"Покровский б-р (напротив д.12, стр.1)",855,53,19
21,2446,16,2431,152,POINT (37.64735 55.753328),8,"Покровский б-р (напротив д.18, стр.18)",1234,51,22
22,3500,21,3284,153,POINT (37.638839 55.748139),12,"Москворецкая наб., д.2А, стр.1",1738,53,20
23,1974,12,1797,144,POINT (37.632794 55.749635),12,"Москворецкая наб., д.9, стр.2",1357,76,20
24,4823,31,4657,152,POINT (37.609394 55.745976),12,"Пречистенская наб., д.45/1, стр.2А",2998,64,22
25,3391,21,3135,151,POINT (37.608481 55.7445),12,"Пречистенская наб., д.15, стр.1 (у Патриаршего моста)",2176,69,21
26,3075,20,3049,152,POINT (37.605561 55.746428),12,"ул. Волхонка, д.14, стр. 6 (Пушкинский музей)",1900,62,22
27,1752,16,1758,108,POINT (37.60477 55.756744),12,ул. Большая Никитская (напротив д.13),801,46,24
28,4780,30,4557,153,POINT (37.612264 55.754864),12,"ул. Моховая, д.11",2826,62,20
29,2928,21,3244,153,POINT (37.60962 55.762079),20,"ул. Тверская, д.8",1733,53,22
30,4421,28,4296,153,POINT (37.612442 55.759361),14,"Камергерский пер., д.4",2378,55,22
31,3118,18,2786,153,POINT (37.616547 55.759165),12,"ул. Большая Дмитровка, д.2",1622,58,24
32,2549,15,2288,153,POINT (37.615807 55.759865),12,"ул. Большая Дмитровка, д.5/6, стр.5",1325,58,22
33,2938,19,2850,153,POINT (37.617189 55.763147),10,Столешников пер. (напротив д.11),1370,48,21
35,5331,35,5279,153,POINT (37.622831 55.761917),18,"ул. Кузнецкий мост, д.13/9, стр.1",2862,54,23
36,1270,12,1344,113,POINT (37.628345 55.763252),12,"Варсонофьевский пер., д.12",679,51,20
38,4990,33,5004,153,POINT (37.636136 55.757758),12,"ул. Маросейка, д.19",2414,48,19
39,3839,27,4139,153,POINT (37.642574 55.759038),22,"ул. Покровка, д.7/9-11",1885,46,18
40,2452,15,2240,152,POINT (37.638475 55.752753),12,ул. Солянка (напротив д.8),1425,64,22
41,3725,23,3568,153,POINT (37.635106 55.753925),8,"Лубянский пр., д. 27/1, стр.1 (ст.м.Китай-город)",2192,61,21
43,4205,28,4250,151,POINT (37.59311 55.763584),12,"Большой Патриарший пер., д.7",1917,45,28
44,976,7,1011,151,POINT (37.596492 55.766467),12,"Благовещенский пер., д.1",490,48,25
45,2063,15,2365,153,POINT (37.599603 55.768055),12,"ул. Тверская, д.24, стр.1",1320,56,18
46,2075,15,2215,152,POINT (37.602422 55.766494),12,"ул. Тверская, д.20, стр.1",1233,56,18
47,1214,12,1306,112,POINT (37.605453 55.769588),12,"ул. Малая Дмитровка, д.15",570,44,18
49,331,7,452,67,POINT (37.641539 55.767169),10,"ул. Мясницкая, д.39, стр.1",240,53,17
50,3031,20,2844,144,POINT (37.599867 55.752609),12,"ул. Новый Арбат, д.1",1650,58,20
51,3248,20,3126,153,POINT (37.596453 55.75259),12,"ул. Новый Арбат, д.11",1644,53,21
