Address,Id,IsLocked,Geom,TotalPlaces,TotalOrdinaryPlaces,TotalElectricPlaces,FreeOrdinaryPlaces,FreeElectricPlaces
ст. м. Кропоткинская (выход к Гоголевскому бульвару),0001,False,POINT (37.6020183 55.7449006),12,12,0,2,0
"ул. Профсоюзная, д.109, Вс.1 (ст. м. Коньково, выход №10)",0387,False,POINT (37.5205529 55.6337498),12,12,0,10,0
"ул. Новосущёвская, д.22, стр.8",0413,False,POINT (37.6044645 55.7896632),12,12,0,1,0
"ул. Образцова, д.19А",0414,False,POINT (37.6098375 55.7892041),12,12,0,9,0
Гоголевский б-р (напротив д.33),0003,False,POINT (37.6005927778 55.7509180556),12,12,0,3,0
"Газетный пер., д.6",0007,False,POINT (37.6086772 55.7574181),30,30,0,11,0
"Тверской б-р (напротив д.17, стр.1)",0008,False,POINT (37.601473 55.761072),14,14,0,11,0
Тверской б-р (напротив д.28),0009,False,POINT (37.6052356 55.7646115),20,20,0,8,0
Страстной б-р (напротив д.8А),0010,False,POINT (37.6094894444 55.7667105556),14,14,0,11,0
"ул. Мясницкая, д.10",0016,False,POINT (37.6316201 55.7599141),10,10,0,4,0
"Чистопрудный б-р (напротив д.12, стр.1)",0018,False,POINT (37.645665 55.760381),14,14,0,9,0
"Покровский б-р (напротив д.18, стр.18)",0021,False,POINT (37.6473502778 55.7533283333),8,8,0,6,0
"Театральный пр-д, д.5, стр.1 (ст. м. Лубянка)",0013,False,POINT (37.6257601 55.7598405),14,14,0,4,0
Фрунзенская наб. (напротив д.4),0200,False,POINT (37.596925 55.7335583333),16,16,0,6,0
Фрунзенская наб. (пересеч. с 1-ой Фрунзенской ул.),0201,False,POINT (37.5898638889 55.7257472222),32,32,0,7,0
Фрунзенская наб. (пересеч. со 2-й Фрунзенской ул.),0204,False,POINT (37.5864 55.72175),12,12,0,8,0
Фрунзенская наб. (пересеч. с 3-ей Фрунзенской ул.),0206,False,POINT (37.5834861111 55.7191972222),14,14,0,4,0
"Фрунзенская наб, д. 54 (пересеч. с ул. Хамовнический Вал)",0207,False,POINT (37.5779888889 55.7155083333),32,32,0,8,0
Лужнецкая наб. (пересеч. с Новолужнецким пр.),0210,False,POINT (37.5695222222 55.7125583333),45,45,0,2,0
"Зубовский б-р, д.5, стр.1 (ст. м. Парк Культуры)",0100,False,POINT (37.5937289 55.7351049),42,42,0,15,0
Комсомольский пр-т (пересеч. с 1-ой Фрунзенской ул.),0202,False,POINT (37.583821 55.727509),12,12,0,3,0
Комсомольский пр-т (пересеч. со 2-ой Фрунзенской ул.),0203,False,POINT (37.579058 55.724242),9,9,0,9,0
Комсомольский пр-т (пересеч. с 3-ей Фрунзенской ул.),0205,False,POINT (37.575858 55.721972),12,12,0,8,0
ст. м. Спортивная (выход №1),0209,False,POINT (37.561961 55.721468),48,24,24,18,6
ст. м. Воробьёвы горы (Лужники),0211,True,POINT (37.5611711 55.7113296),48,48,0,48,0
ул. Большая Пироговская (напротив д.6/25),0216,False,POINT (37.581356 55.736464),12,12,0,0,0
"ул. Большая Пироговская (напротив д.15/18, стр.1)",0215,False,POINT (37.575489 55.733867),21,21,0,4,0
"Комсомольский пр-т, д.28 (ст. м. Фрунзенская)",0218,False,POINT (37.580778 55.726481),24,24,0,13,0
"ул. Большая Пироговская, д.2, стр.4",0214,False,POINT (37.569297 55.731139),12,12,0,8,0
ул. Большая Пироговская (на площади Новодевичьего Монастыря),0213,False,POINT (37.559608 55.726908),18,18,0,8,0
"Комсомольский пр-т, д.48/22 (дублёр, пересеч. с ул. Хамовнический Вал)",0219,False,POINT (37.570481 55.719322),12,12,0,9,0
"ул. Садовая-Самотечная, д.8",0120,False,POINT (37.614186 55.773194),18,18,0,5,0
"ул. Сущёвский Вал, д.2",0415,False,POINT (37.5905396 55.7914268),12,12,0,7,0
"ул. Советской Армии, д.8",0421,False,POINT (37.6170397 55.787541),12,12,0,4,0
"ул. Шереметьевская, д.27",0423,False,POINT (37.6155506 55.8032637),12,12,0,12,0
