"unom";"source";"result";"postal_code";"country";"region_fias_id";"region_kladr_id";"region_with_type";"region_type";"region_type_full";"region";"area_fias_id";"area_kladr_id";"area_with_type";"area_type";"area_type_full";"area";"city_fias_id";"city_kladr_id";"city_with_type";"city_type";"city_type_full";"city";"city_area";"city_district_fias_id";"city_district_kladr_id";"city_district_with_type";"city_district_type";"city_district_type_full";"city_district";"settlement_fias_id";"settlement_kladr_id";"settlement_with_type";"settlement_type";"settlement_type_full";"settlement";"street_fias_id";"street_kladr_id";"street_with_type";"street_type";"street_type_full";"street";"house_fias_id";"house_kladr_id";"house_type";"house_type_full";"house";"block_type";"block_type_full";"block";"flat_type";"flat_type_full";"flat";"flat_area";"square_meter_price";"flat_price";"postal_box";"fias_id";"fias_code";"fias_level";"fias_actuality_state";"kladr_id";"capital_marker";"okato";"oktmo";"tax_office";"tax_office_legal";"timezone";"geo_lat";"geo_lon";"beltway_hit";"beltway_distance";"qc_geo";"qc_complete";"qc_house";"qc";"unparsed_parts";"metro"
"4";"город Москва, улица Егора Абакумова, дом 7";"г Москва, ул Егора Абакумова, д 7";"129347";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Северо-восточный";"";"";"р-н Ярославский";"р-н";"район";"Ярославский";"";"";"";"";"";"";"fcf28ac5-d0be-45ad-8b1e-49f4095eed94";"77000000000070500";"ул Егора Абакумова";"ул";"улица";"Егора Абакумова";"e60d296f-1196-47f2-a18f-353ad00896ec";"7700000000007050008";"д";"дом";"7";"";"";"";"";"";"";"";"166709";"";"";"e60d296f-1196-47f2-a18f-353ad00896ec";"77000000000000007050008";"8";"0";"7700000000007050008";"0";"45280597000";"45365000";"7716";"7716";"UTC+3";"55.8786025";"37.714896";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 3.3, 'line': 'Калужско-Рижская', 'name': 'Бабушкинская'}, {'distance': 3.5, 'line': 'Калужско-Рижская', 'name': 'Медведково'}, {'distance': 4.6, 'line': 'Калужско-Рижская', 'name': 'Свиблово'}]"
"8";"город Москва, Астрадамская улица, дом 9, корпус 1";"г Москва, ул Астрадамская, д 9 к 1";"127206";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Северный";"";"";"р-н Тимирязевский";"р-н";"район";"Тимирязевский";"";"";"";"";"";"";"96805f2e-757e-448c-a713-5995ae292df9";"77000000000077400";"ул Астрадамская";"ул";"улица";"Астрадамская";"483bcf4a-2ed9-4509-ae09-aeafd9e5c10b";"7700000000007740015";"д";"дом";"9";"к";"корпус";"1";"";"";"";"";"187645";"";"";"483bcf4a-2ed9-4509-ae09-aeafd9e5c10b";"77000000000000007740015";"8";"0";"7700000000007740015";"0";"45277592000";"45346000";"7713";"7713";"UTC+3";"55.8128301";"37.5631981";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 1.0, 'line': 'Серпуховско-Тимирязевская', 'name': 'Тимирязевская'}, {'distance': 1.2, 'line': 'Монорельс', 'name': 'Тимирязевская'}, {'distance': 1.3, 'line': 'Серпуховско-Тимирязевская', 'name': 'Дмитровская'}]"
"11";"город Москва, улица Егора Абакумова, дом 10, корпус 2";"г Москва, ул Егора Абакумова, д 10 к 2";"129347";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Северо-восточный";"";"";"р-н Ярославский";"р-н";"район";"Ярославский";"";"";"";"";"";"";"fcf28ac5-d0be-45ad-8b1e-49f4095eed94";"77000000000070500";"ул Егора Абакумова";"ул";"улица";"Егора Абакумова";"f8870b8e-1a02-4d33-a4d2-4f9d3b39c9d6";"7700000000007050013";"д";"дом";"10";"к";"корпус";"2";"";"";"";"";"153795";"";"";"f8870b8e-1a02-4d33-a4d2-4f9d3b39c9d6";"77000000000000007050013";"8";"0";"7700000000007050013";"0";"45280597000";"45365000";"7716";"7716";"UTC+3";"55.8799054";"37.7156367";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 3.4, 'line': 'Калужско-Рижская', 'name': 'Бабушкинская'}, {'distance': 3.5, 'line': 'Калужско-Рижская', 'name': 'Медведково'}, {'distance': 4.7, 'line': 'Калужско-Рижская', 'name': 'Свиблово'}]"
"12";"город Москва, улица Егора Абакумова, дом 10, корпус 3";"г Москва, ул Егора Абакумова, д 10 к 3";"129347";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Северо-восточный";"";"";"р-н Ярославский";"р-н";"район";"Ярославский";"";"";"";"";"";"";"fcf28ac5-d0be-45ad-8b1e-49f4095eed94";"77000000000070500";"ул Егора Абакумова";"ул";"улица";"Егора Абакумова";"ec941cc9-af0d-47e5-a59b-f66012dc1e9b";"7700000000007050014";"д";"дом";"10";"к";"корпус";"3";"";"";"";"";"149773";"";"";"ec941cc9-af0d-47e5-a59b-f66012dc1e9b";"77000000000000007050014";"8";"0";"7700000000007050014";"0";"45280597000";"45365000";"7716";"7716";"UTC+3";"55.8801528";"37.7162101";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 3.4, 'line': 'Калужско-Рижская', 'name': 'Бабушкинская'}, {'distance': 3.5, 'line': 'Калужско-Рижская', 'name': 'Медведково'}, {'distance': 4.8, 'line': 'Калужско-Рижская', 'name': 'Свиблово'}]"
"14";"город Москва, улица Егора Абакумова, дом 11";"г Москва, ул Егора Абакумова, д 11";"129347";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Северо-восточный";"";"";"р-н Ярославский";"р-н";"район";"Ярославский";"";"";"";"";"";"";"fcf28ac5-d0be-45ad-8b1e-49f4095eed94";"77000000000070500";"ул Егора Абакумова";"ул";"улица";"Егора Абакумова";"26607103-89fd-4e85-9176-6082e891085e";"7700000000007050021";"д";"дом";"11";"";"";"";"";"";"";"";"149773";"";"";"26607103-89fd-4e85-9176-6082e891085e";"77000000000000007050021";"8";"0";"7700000000007050021";"0";"45280597000";"45365000";"7716";"7716";"UTC+3";"55.8794045";"37.7135537";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 3.2, 'line': 'Калужско-Рижская', 'name': 'Бабушкинская'}, {'distance': 3.4, 'line': 'Калужско-Рижская', 'name': 'Медведково'}, {'distance': 4.6, 'line': 'Калужско-Рижская', 'name': 'Свиблово'}]"
"16";"город Москва, улица Егора Абакумова, дом 12";"г Москва, ул Егора Абакумова, д 12";"129347";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Северо-восточный";"";"";"р-н Ярославский";"р-н";"район";"Ярославский";"";"";"";"";"";"";"fcf28ac5-d0be-45ad-8b1e-49f4095eed94";"77000000000070500";"ул Егора Абакумова";"ул";"улица";"Егора Абакумова";"aa43646e-b9e4-4a17-b5a2-bda6a88a6349";"7700000000007050022";"д";"дом";"12";"";"";"";"";"";"";"";"155244";"";"";"aa43646e-b9e4-4a17-b5a2-bda6a88a6349";"77000000000000007050022";"8";"0";"7700000000007050022";"0";"45280597000";"45365000";"7716";"7716";"UTC+3";"55.8797944";"37.7143541";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 3.3, 'line': 'Калужско-Рижская', 'name': 'Бабушкинская'}, {'distance': 3.4, 'line': 'Калужско-Рижская', 'name': 'Медведково'}, {'distance': 4.7, 'line': 'Калужско-Рижская', 'name': 'Свиблово'}]"
"19";"город Москва, улица Талалихина, дом 2/1, корпус 6";"г Москва, ул Талалихина, д 2/1 к 6";"109147";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Центральный";"";"";"р-н Таганский";"р-н";"район";"Таганский";"";"";"";"";"";"";"ab5092b8-d85c-431a-96b6-f45f0f1e3c1b";"77000000000286000";"ул Талалихина";"ул";"улица";"Талалихина";"b5bee5bd-85c1-468e-b76b-f03542b376ba";"7700000000028600082";"д";"дом";"2/1";"к";"корпус";"6";"";"";"";"";"";"";"";"b5bee5bd-85c1-468e-b76b-f03542b376ba";"77000000000000028600082";"8";"0";"7700000000028600082";"0";"45286580000";"45381000";"7709";"7709";"UTC+3";"55.7382978";"37.6733369";"IN_MKAD";"";"1";"9";"2";"3";"";"[{'distance': 0.8, 'line': 'Люблинско-Дмитровская', 'name': 'Крестьянская застава'}, {'distance': 0.9, 'line': 'Таганско-Краснопресненская', 'name': 'Пролетарская'}, {'distance': 1.1, 'line': 'Люблинско-Дмитровская', 'name': 'Римская'}]"
"20";"город Москва, Абельмановская улица, дом 3";"г Москва, ул Абельмановская, д 3";"109147";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Центральный";"";"";"р-н Таганский";"р-н";"район";"Таганский";"";"";"";"";"";"";"e533f38f-54d9-44be-91f2-cf23be201766";"77000000000070700";"ул Абельмановская";"ул";"улица";"Абельмановская";"61575ffe-d41f-4783-a0f0-2ca3993b29c9";"7700000000007070003";"д";"дом";"3";"";"";"";"";"";"";"";"192677";"";"";"61575ffe-d41f-4783-a0f0-2ca3993b29c9";"77000000000000007070003";"8";"0";"7700000000007070003";"0";"45286580000";"45381000";"7709";"7709";"UTC+3";"55.7371809";"37.6728332";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.7, 'line': 'Люблинско-Дмитровская', 'name': 'Крестьянская застава'}, {'distance': 0.7, 'line': 'Таганско-Краснопресненская', 'name': 'Пролетарская'}, {'distance': 1.1, 'line': 'Калининско-Солнцевская', 'name': 'Марксистская'}]"
"25";"город Москва, Абельмановская улица, дом 11";"г Москва, ул Абельмановская, д 11";"109147";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Центральный";"";"";"р-н Таганский";"р-н";"район";"Таганский";"";"";"";"";"";"";"e533f38f-54d9-44be-91f2-cf23be201766";"77000000000070700";"ул Абельмановская";"ул";"улица";"Абельмановская";"b3cd8818-1cee-40e5-a400-6b47ece1bce0";"7700000000007070021";"д";"дом";"11";"";"";"";"";"";"";"";"209910";"";"";"b3cd8818-1cee-40e5-a400-6b47ece1bce0";"77000000000000007070021";"8";"0";"7700000000007070021";"0";"45286580000";"45381000";"7709";"7709";"UTC+3";"55.7352458";"37.6713965";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.5, 'line': 'Таганско-Краснопресненская', 'name': 'Пролетарская'}, {'distance': 0.5, 'line': 'Люблинско-Дмитровская', 'name': 'Крестьянская застава'}, {'distance': 1.1, 'line': 'Калининско-Солнцевская', 'name': 'Марксистская'}]"
"27";"город Москва, Абрамцевская улица, дом 1";"г Москва, ул Абрамцевская, д 1";"127576";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Северо-восточный";"";"";"р-н Лианозово";"р-н";"район";"Лианозово";"";"";"";"";"";"";"bc46ef75-670c-48df-bf76-5ce12085f1a5";"77000000000070800";"ул Абрамцевская";"ул";"улица";"Абрамцевская";"828d6c9a-044f-47f7-925a-752fffd9ee19";"7700000000007080066";"д";"дом";"1";"";"";"";"";"";"";"";"181427";"";"";"828d6c9a-044f-47f7-925a-752fffd9ee19";"77000000000000007080066";"8";"0";"7700000000007080066";"0";"45280563000";"45354000";"7715";"7715";"UTC+3";"55.8926989";"37.5730019";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 1.1, 'line': 'Серпуховско-Тимирязевская', 'name': 'Алтуфьево'}, {'distance': 2.1, 'line': 'Серпуховско-Тимирязевская', 'name': 'Бибирево'}, {'distance': 3.3, 'line': 'Люблинско-Дмитровская', 'name': 'Селигерская'}]"
