s_id,name,geom,status,func,url,address,end_year
road-16,Эстакада на Волоколамском шоссе,POINT (37.433759 55.82441),operation,road,https://stroi.mos.ru/road/road/16,"Россия, Москва, Волоколамская эстакада",
road-9,Развязка с Ленинским проспектом,POINT (37.459598685626 55.638849802872),operation,road,https://stroi.mos.ru/road/interchange/9,"Россия, Москва, Ленинский проспект",
road-4,Развязка с Можайским шоссе,POINT (37.385670849316 55.713493249737),operation,road,https://stroi.mos.ru/road/interchange/4,"Россия, Москва, Можайское шоссе",
construction-1584,Жилой дом,POINT (37.767237530122 55.702794045007),construction,house,https://stroi.mos.ru/construction/1584,"Зеленодольская, 41",2018
construction-1907,Стартовые площадки,POINT (37.435134 55.715403),designed,renov-1719,https://stroi.mos.ru/construction/1907,"Можайский район, ул. Гжатская, вл.16 Присвоенный адрес: ул. Гжатская, д.16, к.1",2017
construction-1887,Стартовые площадки,POINT (37.789905 55.807728),designed,renov-1719,https://stroi.mos.ru/construction/1887,"Северное Измайлово, ул. 5-я Парковая, д. 62, корп.1, корп.2, 5-я Парковая ул., д. 62 Б",2017
construction-1926,Стартовые площадки,POINT (37.540163960696 55.874817713514),designed,renov-2023,https://stroi.mos.ru/construction/1926,"район Бескудниковский, кв. 8, 9, корп.1",2021
construction-1868,Стартовая площадка реновации,POINT (37.561284 55.858867),designed,renov-1719,https://stroi.mos.ru/construction/1868,"Бескудниковский б-р, д. 3",2017
construction-1863,Стартовая площадка реновации,POINT (37.556181 55.860469),designed,renov-1719,https://stroi.mos.ru/construction/1863,"Дмитровское ш., 74, кор. 1",2017
construction-1914,Стартовые площадки,POINT (37.495188057094 55.672728344519),designed,renov-1719,https://stroi.mos.ru/construction/1914,"Проспект Вернадского, кв.34, 35, корп. 24",2019
construction-2082,Стартовые площадки,POINT (37.185233555702 55.984177539439),designed,renov-2023,https://stroi.mos.ru/construction/2082,"мкр. 9, город Зеленоград,  корп.936",2021
construction-1945,Стартовые площадки,POINT (37.58277271974 55.821845109645),designed,renov-2023,https://stroi.mos.ru/construction/1945,"район Бутырский, мкр. 78, корп. 66",2021
construction-1899,Стартовые площадки,POINT (37.526038084794 55.647040945296),designed,renov-1719,https://stroi.mos.ru/construction/1899,"район Коньково, кв. 44-47, корп. 12",2019
construction-1870,Стартовая площадка реновации,POINT (37.538287799722 55.894055739997),designed,renov-1719,https://stroi.mos.ru/construction/1870,"Долгопрудная ул., д. 12",2019
construction-1921,Стартовые площадки,POINT (37.683367158193 55.769600993741),designed,renov-2023,https://stroi.mos.ru/construction/1921,"район Басманный, Посланников пер., вл. 18 - Старокирочный пер., вл. 5",2021
construction-1919,Стартовые площадки,POINT (37.447947490389 55.857067614641),designed,renov-1719,https://stroi.mos.ru/construction/1919,"район Северное Тушино, ул. Свободы, вл. 67, корп. 5",2019
construction-1882,Стартовые площадки,POINT (37.529272548322 55.942218838753),designed,renov-1719,https://stroi.mos.ru/construction/1882,"Дмитровское шоссе, вл. 167 , корп. 3А, (2 очередь)",2019
construction-1894,Стартовые площадки,POINT (37.67401866096 55.681424198548),designed,renov-1719,https://stroi.mos.ru/construction/1894,"ул. Судостроительная, вл. 19",2019
