"leisure";"counting"
"playground";"11815"
"pitch";"8142"
"park";"1955"
"DATA_MOS_leisure_with_children";"1167"
"sports_centre";"973"
"fitness_station";"583"
"DATA_MOS_dogs";"438"
"DATA_MOS_sport";"358"
"fitness_centre";"358"
"stadium";"314"
"dog_park";"302"
"track";"194"
"sauna";"187"
"garden";"170"
"common";"122"
"swimming_pool";"109"
"picnic_table";"106"
"ice_rink";"105"
"resort";"83"
"DATA_MOS_culture_houses";"80"
"marina";"75"
"dance";"42"
"yes";"41"
"recreation_ground";"39"
"bandstand";"34"
"fishing";"33"
"horse_riding";"30"
"slipway";"18"
"disc_golf_course";"18"
"firepit";"17"
"beach_resort";"15"
"golf_course";"13"
"escape_game";"13"
"nature_reserve";"11"
"water_park";"10"
"swimming";"10"
"summer_camp";"10"
"club";"7"
"bowling_alley";"7"
"bleacher";"6"
"miniature_golf";"5"
"kids_club";"4"
"recreation_center";"3"
"table_tennis_table";"3"
"outdoor_seating";"3"
"proposed";"2"
"wildlife_hide";"2"
"sports_centre;swimming_pool";"2"
"beach";"2"
"tanning_salon";"2"
"bandstannd";"1"
"14:00-27:00";"1"
"bbq";"1"
"bird_hide";"1"
"holiday_center";"1"
"stands";"1"
"swimming_area";"1"
"bowling";"1"
"drama_school";"1"
"amusement_arcade";"1"
"sport";"1"
"religious";"1"
"seats";"1"
"recreation_centre";"1"
"bingo";"1"
"music";"1"
