"id";"tag";"geom";"data_source"
"1";"sauna";"POINT (38.0106231 55.6365422)";"OpenStreetMap"
"2";"fitness_centre";"POINT (37.7154163 55.7544259)";"OpenStreetMap"
"3";"playground";"POINT (37.0136978 55.6407911)";"OpenStreetMap"
"4";"sports_centre";"POINT (37.8412069 55.9200906)";"OpenStreetMap"
"5";"playground";"POINT (37.5224959 55.3578902)";"OpenStreetMap"
"6";"playground";"POINT (37.9482493 55.8006886)";"OpenStreetMap"
"7";"sports_centre";"POINT (37.4952562 55.8606753)";"OpenStreetMap"
"8";"playground";"POINT (37.4571826 55.8948252)";"OpenStreetMap"
"9";"playground";"POINT (37.4744716 55.8271063)";"OpenStreetMap"
"10";"playground";"POINT (37.4844193 55.8175439)";"OpenStreetMap"
"11";"playground";"POINT (37.4784811 55.8232124)";"OpenStreetMap"
"12";"playground";"POINT (38.1735441 55.6350943)";"OpenStreetMap"
"13";"sports_centre";"POINT (37.4239741 55.7486708)";"OpenStreetMap"
"14";"fitness_centre";"POINT (37.4738468 55.7347198)";"OpenStreetMap"
"15";"playground";"POINT (37.4908559 55.863411)";"OpenStreetMap"
"16";"playground";"POINT (37.4900316 55.8622032)";"OpenStreetMap"
"17";"playground";"POINT (37.4913596 55.8625519)";"OpenStreetMap"
"18";"playground";"POINT (37.4895802 55.8605584)";"OpenStreetMap"
"19";"playground";"POINT (37.4877353 55.8634514)";"OpenStreetMap"
"20";"sports_centre";"POINT (36.8677364 55.728229)";"OpenStreetMap"
"21";"sports_centre";"POINT (37.5173874 55.4174554)";"OpenStreetMap"
"22";"playground";"POINT (36.8866093 55.7130597)";"OpenStreetMap"
"23";"sports_centre";"POINT (37.527543 55.6919763)";"OpenStreetMap"
"24";"sports_centre";"POINT (37.3555973 55.6363801)";"OpenStreetMap"
"25";"sports_centre";"POINT (37.6619516 55.6757945)";"OpenStreetMap"
"26";"sports_centre";"POINT (39.0033808 55.8094024)";"OpenStreetMap"
"27";"sports_centre";"POINT (36.8606222 55.7486129)";"OpenStreetMap"
"28";"fitness_centre";"POINT (37.7376005 55.6461774)";"OpenStreetMap"
"29";"sauna";"POINT (38.0567448 55.6519462)";"OpenStreetMap"
"30";"sauna";"POINT (37.5342278 55.6965378)";"OpenStreetMap"
"31";"sports_centre";"POINT (37.8244828 55.7548609)";"OpenStreetMap"
"32";"swimming_pool";"POINT (37.4987623 55.6467588)";"OpenStreetMap"
"33";"sports_centre";"POINT (37.7912571 55.7013988)";"OpenStreetMap"
"34";"ice_rink";"POINT (37.3969454 55.9111681)";"OpenStreetMap"
"35";"playground";"POINT (37.5117452 55.8498938)";"OpenStreetMap"
"36";"playground";"POINT (37.5288221 55.6380298)";"OpenStreetMap"
"37";"pitch";"POINT (37.5263448 55.6374446)";"OpenStreetMap"
"38";"playground";"POINT (37.526573 55.6363293)";"OpenStreetMap"
"39";"playground";"POINT (37.5095532 55.847239)";"OpenStreetMap"
"40";"playground";"POINT (37.591424 55.6198914)";"OpenStreetMap"
"41";"sports_centre";"POINT (37.546688 55.5850685)";"OpenStreetMap"
"42";"fitness_centre";"POINT (37.9763321 55.7945121)";"OpenStreetMap"
"43";"sports_centre";"POINT (37.6976705 55.6376536)";"OpenStreetMap"
"44";"playground";"POINT (37.4161032 55.7289124)";"OpenStreetMap"
"45";"sports_centre";"POINT (37.1712262 55.9659518)";"OpenStreetMap"
"46";"sports_centre";"POINT (37.7549925 55.5925857)";"OpenStreetMap"
"47";"pitch";"POINT (38.4770819 55.8923342)";"OpenStreetMap"
"48";"playground";"POINT (37.9719586 55.8231455)";"OpenStreetMap"
"49";"sports_centre";"POINT (37.6160717 55.7315523)";"OpenStreetMap"
"50";"sports_centre";"POINT (37.5326857 55.7519909)";"OpenStreetMap"
"51";"fitness_centre";"POINT (37.5965438 55.6469063)";"OpenStreetMap"
"52";"ice_rink";"POINT (37.4510456 55.8609885)";"OpenStreetMap"
"53";"fitness_station";"POINT (37.344909 55.603336)";"OpenStreetMap"
"54";"playground";"POINT (37.9693244 55.8205089)";"OpenStreetMap"
"55";"playground";"POINT (37.9700181 55.8197004)";"OpenStreetMap"
"56";"playground";"POINT (37.7212503 55.6325766)";"OpenStreetMap"
