geom,CommonName,global_id,FullName
MULTIPOINT (37.445581286433 55.866812752497),Дом культуры «Алые паруса»,477012204,Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Алые паруса»
"MULTIPOINT (37.608566514422 55.669044062133, 37.590935968752 55.637992742685, 37.594244871103 55.637244605768)",Московский продюсерский центр,477012230,Государственное бюджетное учреждение культуры города Москвы «Московский продюсерский центр»
MULTIPOINT (37.820871539874 55.758802835025),Культурный центр «Ивановский»,477012235,Государственное бюджетное учреждение культуры города Москвы «Культурный центр «Ивановский»
"MULTIPOINT (37.171365860468 55.987690309123, 37.186979598324 55.976738061147, 37.177622329649 55.981491616097)",Экспериментальный центр «Творческий лицей»,477012242,Государственное бюджетное учреждение культуры города Москвы «Экспериментальный центр социальной адаптации и творческого развития детей и подростков «Творческий лицей»
"MULTIPOINT (37.713634187302 55.870715896242, 37.679196884818 55.864562953863)",Московский многофункциональный культурный центр,477012263,Государственное бюджетное учреждение культуры города Москвы «Московский многофункциональный культурный центр»
MULTIPOINT (37.733017819213 55.707894417937),Культурный центр «Москвич»,477012276,Государственное бюджетное учреждение культуры города Москвы «Культурный центр «Москвич»
MULTIPOINT (37.595019929653 55.597277184095),Дом культуры «Гармония»,477012283,Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Гармония»
"MULTIPOINT (37.650539579892 55.811057439381, 37.661362267323 55.815630696525)",Дворец культуры «Содружество»,477012285,Государственное бюджетное учреждение культуры города Москвы «Дворец культуры «Содружество»
"MULTIPOINT (37.405166041419 55.732200920678, 37.411219500703 55.735415659976, 37.407641492843 55.7327749918)",Дом культуры «Зодчие»,477012303,Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Зодчие»
MULTIPOINT (37.766780825166 55.633396523502),Культурный центр «Братеево»,477012322,Государственное бюджетное учреждение культуры города Москвы «Культурный центр «Братеево»
MULTIPOINT (37.467434019177 55.866246411572),Клуб «Ладога»,477012336,Государственное бюджетное учреждение культуры города Москвы «Клуб «Ладога»
"MULTIPOINT (37.51498474502 55.660049611824, 37.542628414719 55.65657651849, 37.508971653514 55.66054568175)",Центр культуры и искусства «Меридиан»,477012353,Государственное бюджетное учреждение культуры города Москвы «Центр культуры и искусства «Меридиан»
MULTIPOINT (37.51313929663 55.861610493749),Культурный центр «Онежский»,477012376,Государственное бюджетное учреждение культуры города Москвы «Культурный центр «Онежский»
"MULTIPOINT (37.543618647137 55.472105680502, 37.538216172831 55.473544425043, 37.538959849857 55.473351216507)",Дом культуры «Пересвет»,477012382,Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Пересвет»
"MULTIPOINT (37.480420172029 55.788922110476, 37.464866435168 55.803145689066)",Дом Романса,477012411,Государственное бюджетное учреждение культуры города Москвы «Дом Романса»
MULTIPOINT (37.805560644035 55.757879080089),Дом культуры «Перово»,477012419,Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Перово»
