ID;FullName;global_id;ShortName;RegisterNumber;LegalAddress;country;city;street;house;ChiefPosition;ChiefName;WebSite;Email;INN;OGRN
1;УЧРЕЖДЕНИЕ «МОСКОВСКИЙ ФИЗКУЛЬТУРНО-СПОРТИВНЫЙ КЛУБ «ЮНЫЙ ДИНАМОВЕЦ»;63809221;«МФСК «ЮНЫЙ ДИНАМОВЕЦ»;260813;Ленинградский проспект, дом 36, строение 21;Россия;Москва;Ленинградский проспект;дом 36, строение 21;генеральный директор;Долгушев Анатолий Петрович;;;7714596110;1,05775E+12
2;РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ «ФЕДЕРАЦИЯ СКЕЙТБОРДИНГА»;63809222;«Федерация скейтбординга Москвы»;260721;Краснобогатырская улица, дом 44, корпус 1;Россия;Москва;Краснобогатырская улица;дом 44, корпус 1;президент;Чаплеевский Роман Павлович;;;7718748596;1,1378E+12
3;Автономная некоммерческая организация «Ассоциация «Здоровая нация»;63809223;АНО «Ассоциация «Здоровая нация»;259031;Фурманный переулок, дом 10, строение 1;Россия;Москва;Фурманный переулок;дом 10, строение 1;генеральный директор;Папсуев Матвей Александрович;;;7701512426;1,03774E+12
4;АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ПО ПРОВЕДЕНИЮ СПОРТИВНЫХ И МАССОВЫХ МЕРОПРИЯТИЙ «ВЫДВИЖЕНИЕ»;63809224;АНО «Выдвижение»;219740;Новинский бульвар, дом 18, корпус 1;Россия;Москва;Новинский бульвар;дом 18, корпус 1;исполнительный директор;Сиваков Олег Петрович;;;7704505233;1,03774E+12
5;АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ «ДИРЕКЦИЯ СПОРТИВНЫХ И СОЦИАЛЬНЫХ ПРОГРАММ ПРАВООХРАНИТЕЛЬНЫХ ОРГАНОВ»;63809225;АНО «Дирекция спортивных программ правоохранительных органов»;260012;Рязанский проспект, дом 16, строение 4;Россия;Москва;Рязанский проспект;дом 16, строение 4;генеральный директор;Тихонюк Виктор Дмитриевич;;;7721513869;1,0478E+12
6;АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ «КОНТИНЕНТАЛЬНАЯ ХОККЕЙНАЯ ЛИГА»;63809226;АНО «Континентальная хоккейная лига»;260033;Овчинниковская набережная, дом 20, строение 2;Россия;Москва;Овчинниковская набережная;дом 20, строение 2;управляющий директор;Кобылянский Георгий Викторович;;;7707330905;1,0878E+12
7;Автономная некоммерческая организация «Лига школьного и дворового спорта»;63809227;АНО «Лига школьного и дворового спорта»;219738;Скаковая улица, дом 32, строение 2;Россия;Москва;Скаковая улица;дом 32, строение 2;исполнительный директор;Сосков Борис Андреевич;;;7714400198;1,1178E+12
8;Автономная некоммерческая организация «Национальный центр корпоративного спорта»;63809228;АНО «Национальный центр корпоративного спорта»;259794;улица Лужники, дом 24, строение 9;Россия;Москва;улица Лужники;дом 24, строение 9;директор;Джагацпанян Даниил Михайлович;;;7704280237;1,1278E+12
9;АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ «РАЗВИТИЕ СТУДЕНЧЕСКОГО И МОЛОДЕЖНОГО СПОРТА»;63809229;АНО «Развитие студенческого и молодежного спорта»;259026;улица Стромынка, дом 19, корпус 2;Россия;Москва;улица Стромынка;дом 19, корпус 2;генеральный директор;Кинаш Алексей Алексеевич;;;7721490555;1,1278E+12
10;Автономная некоммерческая организация «Спортивно - досуговый центр «БАРС»;63809230;АНО «СДЦ «Барс»;259587;Авиамоторная улица, дом 50, корпус 2;Россия;Москва;Авиамоторная улица;дом 50, корпус 2;директор;Кизимов Юрий Александрович;;;5027144256;1,085E+12
11;АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ «СЕМЕЙНЫЙ КЛУБ «АДМИРАЛЪ»;63809231;АНО «Семейный клуб «Адмиралъ»;259132;Чечерский проезд, дом 120;Россия;Москва;Чечерский проезд;дом 120;генеральный директор;Пермякова Юлия Геннадьевна;;;7727497564;1,1278E+12
12;Автономная некоммерческая организация «Спортивный клуб «БиЦ»;63809232;АНО «СК «БиЦ»;259474;Каширское шоссе, дом 33, корпус 1;Россия;Москва;Каширское шоссе;дом 33, корпус 1;президент;Курочкин Виталий Михайлович;;;7737105216;1,03774E+12
13;АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ «СПОРТИВНЫЙ КЛУБ ЮЛИИ БАРСУКОВОЙ»;63809233;АНО «СК Юлии Барсуковой»;258989;Советская улица, дом 7;Россия;Москва;Советская улица;дом 7;директор;Паньков Александр Ильич;;;7731397690;1,1378E+12
14;АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ СОДЕЙСТВИЯ РАЗВИТИЮ ФИЗКУЛЬТУРЫ И СПОРТА «СПОРТ И ФИЗИЧЕСКАЯ КУЛЬТУРА ДЛЯ ВСЕХ»;63809234;АНО «Спорт и ФК для всех»;259012;5-й Войковский проезд, дом 6;Россия;Москва;5-й Войковский проезд;дом 6;председатель правления;Писков Юрий Владимирович;;;7743110863;1,1478E+12
15;АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ «СПОРТИВНЫЙ ЦЕНТР ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ «АЛМАЗНЫЙ ЛЁД»;63809235;АНО «СЦДПО «Алмазный лёд»;259355;Краснодарская улица, дом 4/117;Россия;Москва;Краснодарская улица;дом 4/117;генеральный директор;Шкулева Екатерина Владимировна;;;7723210757;1,1278E+12
16;АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ФИЗКУЛЬТУРНО-ОЗДОРОВИТЕЛЬНЫЙ КЛУБ ПОДРОСТКОВ И МОЛОДЕЖИ «СТИМУЛ»;63809236;АНО «Физкультурно-оздоровительный клуб подростков и молодежи «Стимул»;259476;Серебрянический переулок, дом 9, строение 1;Россия;Москва;Серебрянический переулок;дом 9, строение 1;директор;Беловецкая Екатерина Юрьевна;;;7709335578;1,03774E+12
17;АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ЦЕНТР СОДЕЙСТВИЯ ГАРМОНИЗАЦИИ ОТНОШЕНИЙ СРЕДИ ФУТБОЛЬНЫХ БОЛЕЛЬЩИКОВ «ФУТБОЛЬНОЕ БРАТСТВО»;63809237;АНО «Центр содействия гармонии отношений среди футбольных болельщиков «Футбольное братство»;261900;Волоколамское шоссе, дом 108;Россия;Москва;Волоколамское шоссе;дом 108;генеральный директор;Сигаев Заур Владимирович;;;7733189751;1,1577E+12
18;АНО «Центральный спортивный клуб финансовых органов»;63809238;АНО «Центральный спортивный клуб финансовых органов»;261902;Лесная улица, дом 6;Россия;Москва;Лесная улица;дом 6;председатель;Шабуневич Олег Васильевич;;;7710490401;1,1577E+12
19;АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ «ЦЕНТР СПОРТИВНОГО РАЗВИТИЯ ИМЕНИ ОЛИМПИЙСКИХ ЧЕМПИОНОК ЕЛЕНЫ ШАЛАМОВОЙ И МАРИИ НЕТЕСОВОЙ»;63809239;АНО ДО «ЦСР имени олимпийских чемпионок Елены Шаламовой и Марии Нетесовой»;259446;Родионовская улица, дом 10, корпус 1;Россия;Москва;Родионовская улица;дом 10, корпус 1;директор;Шаламова Елена Владимировна;;;7733191493;1,1378E+12
20;АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ПО ОРГАНИЗАЦИИ И ПРОВЕДЕНИЮ СПОРТИВНО-МАССОВЫХ МЕРОПРИЯТИЙ «ПОД МОСТОМ»;63809240;АНО по организации и проведению спортивных массовых мероприятий «Под Мостом»;259004;улица Лужники, дом 24, строение 2;Россия;Москва;улица Лужники;дом 24, строение 2;генеральный директор;Грунис Сергей Леонидович;;;7704279545;1,1278E+12
21;Автономная некоммерческая организация Содействия развитию физической культуры и спорта «ЗДОРОВЬЕ.ФИЗКУЛЬТУРА.СПОРТ»;63809241;АНО содействия развитию ФКиС «Здоровье. Физкультура. Спорт»;259011;Малый Сухаревский переулок, дом 9, строение 1;Россия;Москва;Малый Сухаревский переулок;дом 9, строение 1;директор;Мякишев Константин Юрьевич;;;7702372299;1,1078E+12
22;Автономная некоммерческая организация, содействующая развитию физической культуры, спорта и здорового образа жизни «Спорт для Всех»;63809242;АНО содействия развитию ФКиС «Спорт для всех»;259463;1-й Красносельский переулок, дом 3;Россия;Москва;1-й Красносельский переулок;дом 3;директор;Иванов Александр Владимирович;;;7708240771;1,1278E+12
23;Автономная некоммерческая организация содействия развитию физкультуры и спорта «Спортивная столица»;63809243;АНО содействия развитию ФКиС «Спортивная столица»;259461;Архангельский переулок, дом 9, строение 1;Россия;Москва;Архангельский переулок;дом 9, строение 1;генеральный директор;Орлов Георгий Владимирович;;;7701168117;1,1278E+12
