geometry/coordinates/0,geometry/coordinates/1,geometry/type,properties/DatasetId,properties/VersionNumber,properties/ReleaseNumber,properties/RowId,properties/Attributes/Name,properties/Attributes/global_id,properties/Attributes/AdmArea,properties/Attributes/District,properties/Attributes/DescriptionLocation,properties/Attributes/Address,properties/Attributes/EventDate,properties/Attributes/TIME,properties/Attributes/PaymentInfo,type
37.721004,55.609039,Point,2249,1,25,,"Детская театральная студия «Милагрос». В программе:
сценическая речь
сценические движения
ритмика
актёрское мастерство
Возраст: от 4 до 15
Форма проведения занятий: групповая",861098166,Южный административный округ,район Орехово-Борисово Южное,ГБУК г. Москвы «ГЭЦКИ «Авангард»,"улица Генерала Белова, дом 18","Понедельник, среда","17.00, 18.00",платно,Feature
37.725801,55.62419,Point,2249,1,25,,Хор ветеранов «Вдохновение»,840256748,Южный административный округ,район Орехово-Борисово Северное,"ГБУК г. Москвы ТКС «Орехово», Районный культурно-досуговый центр «Созвездие»","Борисовский проезд, дом 22, корпус 1, строение 2",В течение года,Подробное расписание на сайте http://tks-orehovo.ru,Бесплатно,Feature
37.55752,55.729873,Point,2249,1,25,,Детский инженерный клуб «Простороботы»,840230937,Центральный административный округ,район Хамовники,"ГБУК г.Москвы «ЦБС ЦАО», Библиотека №5 имени М.А.Волошина","Новодевичий проезд, дом 10","Январь-декабрь, кроме: июль, август","Суббота, воскресенье с 10:00-17:00",Бесплатно,Feature
37.154473533729394,55.98956290327658,Point,2249,1,25,,Ведущая творческая студия города Москвы «Студия керамики «Горшеня»,861098068,Зеленоградский административный округ,район Крюково,ГАУК г. Москвы «Культурный центр «Зеленоград»,"Зеленоград, корпус 1432","Понедельник, среда, четверг","Пн.,чт.- 17:30-18:15, ср.- 15:30-18:15","Платно, стоимость 3000 р./месяц",Feature
37.7507891587519,55.7758498925678,Point,2249,1,25,,Картинг,837586388,Восточный административный округ,район Измайлово,ГАУК города Москвы «Измайловский Парк культуры и отдыха»,"Московский проспект дом 2, располагайся на месте катка «Серебряный лед»",Среда-воскресенье (весна-осень),11:00-20:00,Платно,Feature
37.679143,55.755986,Point,2249,1,25,,"Любительское объединения «Хочу все знать». Выявление и развитие творческих, интеллектуальных способностей дошкольников и младших школьников, так же проявления интереса к чтению литературы; - создание красивых и оригинальных поделок своими руками из разных материалов; -	развитие у ребенка познавательного интереса, воображения, фантазии, креативности мышления (умения гибко, оригинально мыслить, видеть обыкновенный объект под новым углом зрения); - воспитание усидчивости, аккуратности; умения работать в группе, развитие мелкой моторики руки. Формы и режим занятий: Занятия проводятся с учетом особенностей программы по возрастам, каждая тема занятия рассчитана на 1 час. (60 мин) Занятия проводятся в соответствии с утвержденной программой и расписанием занятий. После успешной реализации организуется следующий курс с более усложненной программой. Планируемый результат: - воспитание настоящего читателя и хорошего читательского вкуса; - расширение кругозора и любознательности; - развитие логического мышления и коммуникативных навыков; - умение работать в команде; - повышение уровня образованности и интеллекта, быстроты реакции; - развитие фантазии и речи; - развитие личностных качеств детей в сфере коммуникации.",861098210,Юго-Восточный административный округ,район Лефортово,"ГБУК г. Москвы «ЦБС ЮВАО», Библиотека № 122 им. А.Грина","улица Волочаевская, дом 14А, строение 1",С января 2018 по май 2018,С 11:00 до 12:00 - 2 раза в месяц по четвергам,Бесплатно,Feature
37.607304616354,55.81904063243,Point,2249,1,25,,Детская игровая площадка,64611198,Северо-Восточный административный округ,Останкинский район,"ГАУК города Москвы «Лианозовский парк культуры и отдыха», Дубовая роща по Прудовому проезду, на территории парка","Прудовой проезд, дом 13, корпус 7",Круглогодично,С 07:00 до 23:00,Вход свободный,Feature
37.92245201985117,55.68381697926563,Point,2249,1,25,,«Карамельки» - детский коллектив народного танца,861098251,Юго-Восточный административный округ,район Некрасовка,ГБУК г. Москвы «Дом культуры «Заречье»,"улица 1-я Вольская, дом 11","Вторник, четверг",С 17:00 до 18:00,Платно,Feature
37.56740088227755,55.56769530561374,Point,2249,1,25,,«Ритмическая пластика»,840238982,Юго-Западный административный округ,район Северное Бутово,"ГБУК г. Москвы «ЦБС ЮЗАО», Библиотека № 193","улица Грина, дом 11",Сезон,С 17:00 ло 18:40,Платно,Feature
37.66815879265928,55.64612326682788,Point,2249,1,25,,Студия «Хип-хоп»,840249398,Южный административный округ,район Москворечье-Сабурово,ГБУК г. Москвы «Творческий центр «Москворечье»,"Каширское шоссе, дом 52",Вторник и четверг,В 19:00,Занятия,Feature
37.78758114847905,55.72214197051249,Point,2249,1,25,,Спортивный кружок по УШУ «Цветок Лотоса»,861098237,Юго-Восточный административный округ,Рязанский район,ГБУК г. Москвы «Территориальная клубная система «Спутник»,"улица Яснополянская, дом 3, корпус 1, 2 подъезд жилого дома.",Круглогодично,С 16:00 до 19:00,Платно,Feature
37.585871,55.747535,Point,2249,1,25,,"Олимпиада для школьников «Усадьбы, парки, музеи»",840244556,Центральный административный округ,район Арбат,"ГБУК г. Москвы «Государственный музей А.С. Пушкина», филиал «Мемориальная квартира А.С. Пушкина на Арбате»","улица Арбат, дом 53",Ежедневно с октября по апрель,"Ср, Пт, Сб, Вс - с 10.00 до 18.00 ч.; чт - с 10.00 до 21.00 ч.; Пн, вт - выходной",Платная форма посещения по билетам.,Feature
37.787581148478694,55.722141970499976,Point,2249,1,25,,Спортивный кружок по УШУ «Золотой лев»,861098231,Юго-Восточный административный округ,Рязанский район,ГБУК г. Москвы «Территориальная клубная система «Спутник»,"улица Яснополянская, дом 3, корпус 1, 2 подъезд жилого дома",Круглогодично,С 19:00 до 21:00,Платно,Feature
37.489043195105445,55.62775205205406,Point,2249,1,25,,«Умка»,840236996,Юго-Западный административный округ,район Тёплый Стан,"ГБУК г. Москвы «ЦБС ЮЗАО», Библиотека № 173","улица Теплый Стан, дом 4",Сезон,С 10:00 до 13:30,Платно,Feature
37.154462804893164,55.98956591018421,Point,2249,1,25,,Ведущий творческий коллектив города Москвы «Театр танца «Крылья»,861098063,Зеленоградский административный округ,район Крюково,ГАУК г. Москвы «Культурный центр «Зеленоград»,"Зеленоград, корпус 1432","Понедельник, среда, суббота",С 17:00 до 20:00,"Платно, стоимость 3000 р./месяц",Feature
37.468271230826666,55.85347566945755,Point,2249,1,25,,Каток с искусственным льдом,841868781,Северный административный округ,район Левобережный,"Парк «Северного речного вокзала», на территории парка","Ленинградское шоссе, дом 51",В зимний период,с 10:00 до 22:00,Бесплатно,Feature
37.294915,55.613372,Point,2249,1,25,,Секция «Айкидо» (7+),840235108,Западный административный округ,район Внуково,ГБУК г. Москвы «Культурный центр «Внуково»,"улица Большая Внуковская, дом 6","С сентября по май (вторник, четверг)",С 20:00 до 21:00,Платно,Feature
37.50126926256544,55.86212955530611,Point,2249,1,25,,Изостудия «Волшебная палитра»,840228493,Северный административный округ,район Ховрино,"ГБУК г. Москвы «ЦБС САО», Библиотека № 27","улица Фестивальная, дом 67",Среда,С 16:00 до 17:00,Платно,Feature
37.47114119447287,55.85192162495465,Point,2249,1,25,,Каток с естественным льдом,841868871,Северный административный округ,район Левобережный,"Парк «Северного речного вокзала», центральный вход в парк","Ленинградское шоссе, дом 51",В зимний период,Будни с 16:00 до 24:00; выходные с 12:00 до 24:00,Платно,Feature
37.67037057539291,55.794356342050364,Point,2249,1,25,,Беспроигрышный тир на Песочной аллее,837584525,Восточный административный округ,район Сокольники,ГАУК г. Москвы «Парк культуры и отдыха «Сокольники»,Песочная аллея,Круглогодично,В будние дни с 12:00 до 20:00 ; в выходные с 11:00 до 21:00,Платно,Feature
37.79014192394229,55.713633425874875,Point,2249,1,25,,"Любительское объединение «Киноклуб». Пропаганда русского языка как государственного языка Российской Федерации; -	развитие и продвижение интереса к киноискусству, литературе и произведениям, легшим в основу кино-шедевров; - формирование интереса к киноискусству как части общечеловеческой культуры; -	эстетическое развитие личности.",861098418,Юго-Восточный административный округ,Рязанский район,"ГБУК г. Москвы «ЦБС ЮВАО», Центральная детская библиотека № 104","улица 1-я Новокузьминская, дом 16, корпус 2",С января 2018 по май 2018,Каждый четверг с 17:00 по 18:30,Бесплатно,Feature
37.822662,55.731224,Point,2249,1,25,,Теннисный корт №3,840246586,Восточный административный округ,район Вешняки,"ГАУК г.Москвы «Перовский парк культуры и отдыха», парк у прудов «Радуга», пересечение улицы Юности и аллеи Жемчуговой","Корт расположен со стороны аллеи Жемчуговой, у Большого Графского пруда",летний период,круглосуточно,бесплатно,Feature
37.59927561838511,55.75697908787569,Point,2249,1,25,,"Детские спектакли для детей и их родителей: «Остров сокровищ», «Недоросль», «Сотворившая чудо», «Бедная Лиза», «Емеля», «Золотая рыбка»",859660609,Центральный административный округ,Пресненский район,Московский театр «У Никитских ворот»,"улица Большая Никитская, дом 23/14/9",С сентября по апрель,С 12:00 до 14:00,Платная,Feature
37.429122626983485,55.84887085742991,Point,2249,1,25,,"Студия «Занимательные шахматы». Приглашает детей от 5 до 9 лет. Игра в шахматы позволит приобрести много полезных навыков. Дошкольникам - лучше подготовиться к школе, а школьникам - успешнее справляться с домашними занятиями. Занятия проводит педагог-психолог В.В. Ильинская.",841846247,Северо-Западный административный округ,район Южное Тушино,ГБУК г. Москвы «Выставочный зал «Тушино»,"бульвар Яна Райниса, дом 19, корпус 1",Еженедельно по субботам,"16:00-17:00, 17:00-18:00, 18:00-19:30",Платно,Feature
37.61827544047527,55.65947696732565,Point,2249,1,25,,"Студия «Территория талантливых людей». На занятиях в изо-студии «ТТЛ» учащиеся осваивают разные техники рисунка и живописи, учатся работать с различными материалами, комбинировать их, осваивают декоративно-прикладное искусство. Занятия развивают творческие и интеллектуальные способности. По результатам обучения проводятся выставки работ учащихся.",861098413,Южный административный округ,Нагорный район,"ГБУК г. Москвы «Объединение «ВЗ Москвы», Галерея-мастерская «Варшавка»","Варшавское шоссе, дом 68, корпус 1",Сентябрь-май,С 15:30-18:30,Платно (350 руб.),Feature
37.56737406018724,55.56771658382206,Point,2249,1,25,,Подготовка к школе «Эрудит»,840238937,Юго-Западный административный округ,район Северное Бутово,"ГБУК г. Москвы «ЦБС ЮЗАО», Библиотека № 193","улица Грина, дом 11",Сезон,С 11:45 до 12:40,Платно,Feature
37.523267,55.826463,Point,2249,1,25,,Студия «Развивайка»,840232036,Северный административный округ,район Коптево,"ГБУК г. Москвы «ЦБС САО», Библиотека № 46","улица Новопетровская, дом 16А","Вторник, четверг",С 16:00 до 20:00,Платно,Feature
37.56672270304092,55.802030128963594,Point,2249,1,25,,Студия современного танца В. Лавричева,841556230,Северный административный округ,Савёловский район,"ГБУК г. Москвы «ЦБС САО», Библиотека № 40","1-я Хуторская улица, дом 2, корпус 2","Вторник, четверг",с 18:00 до 21:00,Платно,Feature
