geometry/coordinates/0,geometry/coordinates/1,geometry/type,properties/DatasetId,properties/VersionNumber,properties/ReleaseNumber,properties/RowId,properties/Attributes/DepartamentalAffiliation,properties/Attributes/global_id,properties/Attributes/Photo/0/Photo/0,properties/Attributes/Photo/1/Photo/0,properties/Attributes/AdmArea,properties/Attributes/District,properties/Attributes/Location,properties/Attributes/DogParkArea,properties/Attributes/Elements/0,properties/Attributes/Elements/1,properties/Attributes/Elements/2,properties/Attributes/Elements/3,properties/Attributes/Elements/4,properties/Attributes/Elements/5,properties/Attributes/Elements/6,properties/Attributes/Elements/7,properties/Attributes/Elements/8,properties/Attributes/Elements/9,properties/Attributes/Lighting,properties/Attributes/Fencing,properties/Attributes/WorkingHours/0/DayOfWeek,properties/Attributes/WorkingHours/0/Hours,properties/Attributes/WorkingHours/1/DayOfWeek,properties/Attributes/WorkingHours/1/Hours,properties/Attributes/WorkingHours/2/DayOfWeek,properties/Attributes/WorkingHours/2/Hours,properties/Attributes/WorkingHours/3/DayOfWeek,properties/Attributes/WorkingHours/3/Hours,properties/Attributes/WorkingHours/4/DayOfWeek,properties/Attributes/WorkingHours/4/Hours,properties/Attributes/WorkingHours/5/DayOfWeek,properties/Attributes/WorkingHours/5/Hours,properties/Attributes/WorkingHours/6/DayOfWeek,properties/Attributes/WorkingHours/6/Hours,type,properties/Attributes/Photo/2/Photo/0,properties/Attributes/Photo/3/Photo/0,properties/Attributes/Elements/10,properties/Attributes/Elements/11,properties/Attributes/Elements/12,properties/Attributes/Elements/13,properties/Attributes/Elements/14,properties/Attributes/Elements/15,properties/Attributes/Elements/16,properties/Attributes/Elements/17,properties/Attributes/Elements/18,properties/Attributes/Elements/19,properties/Attributes/Photo/4/Photo/0,properties/Attributes/Photo/5/Photo/0,properties/Attributes/Photo/6/Photo/0,properties/Attributes/Photo/7/Photo/0
37.42851632275322,55.74753402780567,Point,2663,1,95,,Департамент культуры города Москвы,272622268,334c5a4b-bd2c-4cde-ab29-3fc486d2c178,747930af-aae3-4a08-8d81-d8d053f60715,Западный административный округ,район Филёвский Парк,"город Москва, Рублёвское шоссе, дом 26, корпус 4",400,барьер одинарный,бум для собак,входной элемент,горка-лестница (без перил),горка-мостик А-форма,информационный стенд,полоса препятствий,скамья для собаководов,тренировочный снаряд с покрышкой,урна,нет,да,понедельник,круглосуточно,вторник,круглосуточно,среда,круглосуточно,четверг,круглосуточно,пятница,круглосуточно,суббота,круглосуточно,воскресенье,круглосуточно,Feature,,,,,,,,,,,,,,,,
37.49656148612137,55.6858265976846,Point,2663,1,95,,Департамент культуры города Москвы,272622413,986f8436-d6f5-4e03-8689-f83202f5ac54,2a646cea-f2d2-4bac-99f4-33ba9ef85d5c,Западный административный округ,район Проспект Вернадского,"город Москва, улица Удальцова, дом 40",600,барьер тройной,бум для собак,входной элемент,вышка-лестница (с перилами),полоса препятствий,скамья для собаководов,трамплин,трап,тренировочный снаряд с покрышкой,урна,нет,да,понедельник,круглосуточно,вторник,круглосуточно,среда,круглосуточно,четверг,круглосуточно,пятница,круглосуточно,суббота,круглосуточно,воскресенье,круглосуточно,Feature,a0247330-6f6c-442e-b4c1-a406cb3c3d76,2f236d54-610f-483e-a9fd-89a7a64005a8,,,,,,,,,,,,,,
37.471407,55.681276,Point,2663,1,95,,Департамент культуры города Москвы,272622448,62474c69-3137-49c6-84cd-bebb7be82d08,05172790-5a03-4c04-93c5-8e1199288d07,Западный административный округ,район Тропарёво-Никулино,"город Москва, улица Мичуринский Проспект, Олимпийская Деревня, дом 1, корпус 2",314,барьер двойной,барьер кольца,входной элемент,горка-лестница (без перил),горка-мостик А-форма,информационный стенд,туннель (нора),скамья для собаководов,трап,урна,да,да,понедельник,07:00-23:00,вторник,07:00-23:00,среда,07:00-23:00,четверг,07:00-23:00,пятница,07:00-23:00,суббота,07:00-23:00,воскресенье,07:00-23:00,Feature,,,,,,,,,,,,,,,,
37.532932131282685,55.8768237803245,Point,2663,1,95,,Департамент культуры города Москвы,272624433,1b27fa46-6b1e-4f45-b767-305e41ac5887,a9fe26c0-827b-4c68-b636-9a4077adab7e,Северный административный округ,Дмитровский район,"город Москва, улица Софьи Ковалевской, дом 2",500,барьер тройной,бум для собак,вышка-лестница (с перилами),полоса препятствий,тренировочный снаряд с покрышкой,,,,,,да,да,понедельник,круглосуточно,вторник,круглосуточно,среда,круглосуточно,четверг,круглосуточно,пятница,круглосуточно,суббота,круглосуточно,воскресенье,круглосуточно,Feature,,,,,,,,,,,,,,,,
37.62480835581937,55.896571717105644,Point,2663,1,95,,Департамент культуры города Москвы,272625343,330bfa0f-6d4c-4085-adc7-0d9afc325052,975eb748-9103-4692-99f6-7b157564b7cf,Северо-Восточный административный округ,район Бибирево,"город Москва, улица Корнейчука, дом 36А",620,барьер змейка,барьер одинарный,бум для собак,горка-лестница (без перил),скамья для собаководов,урна,,,,,да,да,понедельник,круглосуточно,вторник,круглосуточно,среда,круглосуточно,четверг,круглосуточно,пятница,круглосуточно,суббота,круглосуточно,воскресенье,круглосуточно,Feature,de6af189-9c61-4b55-a0dd-f5bc0afbacf6,4e5441ba-9da9-4fea-9cf8-5cfcab43132c,,,,,,,,,,,,,,
37.828682635581885,55.730020244012785,Point,2663,1,95,,Департамент культуры города Москвы,272626390,6542a7cb-755d-4bf6-bc63-6a2e472c0d3a,,Восточный административный округ,район Вешняки,"город Москва, Вешняковская улица, дом 16",400,балансир для собак,барьер одинарный,бум для собак,горка-лестница (без перил),туннель (нора),полоса препятствий,трамплин,,,,нет,да,понедельник,круглосуточно,вторник,круглосуточно,среда,круглосуточно,четверг,круглосуточно,пятница,круглосуточно,суббота,круглосуточно,воскресенье,круглосуточно,Feature,,,,,,,,,,,,,,,,
37.657761,55.806246,Point,2663,1,95,,Департамент культуры города Москвы,272627417,ad6846c1-dbca-406a-aca3-8f6ed3d9f923,fa7d63d8-1329-41f5-bc6c-831f7b28a543,Восточный административный округ,район Сокольники,"город Москва, 3-й Лучевой просек, дом 12, строение 1",9999,балансир для собак,барьер двойной,барьер змейка,барьер кольца,барьер одинарный,барьер регулируемый,барьер тройной,бум для собак,входной элемент,вышка-лестница (с перилами),да,да,понедельник,круглосуточно,вторник,круглосуточно,среда,круглосуточно,четверг,круглосуточно,пятница,круглосуточно,суббота,круглосуточно,воскресенье,круглосуточно,Feature,24621868-cef5-4d0a-9a0e-1ccf94d07178,,горка-лестница (без перил),горка-мостик А-форма,информационный стенд,туннель (нора),полоса препятствий,скамья для собаководов,трамплин,трап,тренировочный снаряд с покрышкой,урна,,,,
37.448911,55.866858,Point,2663,1,95,,Департамент культуры города Москвы,272627660,13c33f2a-d270-4f3f-ae29-3b05346fd2fb,3c3b2a05-be22-472c-9cdd-82f317875271,Северо-Западный административный округ,район Северное Тушино,"город Москва, улица Свободы, дом 91, корпус 1",1500,барьер одинарный,бум для собак,вышка-лестница (с перилами),информационный стенд,скамья для собаководов,трамплин,урна,,,,да,да,понедельник,круглосуточно,вторник,круглосуточно,среда,круглосуточно,четверг,круглосуточно,пятница,круглосуточно,суббота,круглосуточно,воскресенье,круглосуточно,Feature,5516b8af-c44b-4ef9-85a9-588cb89cdf3a,569afddd-869f-4afe-9d4b-61deaed978a1,,,,,,,,,,,,,,
37.652009,55.663942,Point,2663,1,95,,Департамент культуры города Москвы,272641845,7384f097-a425-4098-94fd-89eaf8a420cd,42aa09c0-5836-4576-9318-c55974170001,Южный административный округ,район Нагатино-Садовники,"город Москва, Коломенский проезд, дом 14, корпус 2",225,балансир для собак,бум для собак,входной элемент,горка-лестница (без перил),скамья для собаководов,урна,,,,,да,да,понедельник,08:00-22:00,вторник,08:00-22:00,среда,08:00-22:00,четверг,08:00-22:00,пятница,08:00-22:00,суббота,08:00-22:00,воскресенье,08:00-22:00,Feature,1c8256e1-bae6-4348-8b05-bb3106b19c4e,eb37d3c4-e899-4832-a1c9-4606a2239ea3,,,,,,,,,,,85af8a0b-4c98-433c-991a-8c4656d7206f,99d15ed7-060a-47d8-b363-d0201aa25eb3,,
37.710750341623644,55.63498484905294,Point,2663,1,95,,Департамент культуры города Москвы,272642118,1246a27a-956c-4fe7-96a4-062785fae1c1,e2c46d87-d6eb-409c-826c-d8e95aa5cc06,Южный административный округ,район Москворечье-Сабурово,"город Москва, улица Борисовские Пруды, дом 2А",600,горка-лестница (без перил),,,,,,,,,,да,да,понедельник,08:00-22:00,вторник,08:00-22:00,среда,08:00-22:00,четверг,08:00-22:00,пятница,08:00-22:00,суббота,08:00-22:00,воскресенье,08:00-22:00,Feature,b47b67c9-06a9-4c28-aaf1-ce10bc9ac805,,,,,,,,,,,,,,,
