"id";"tag";"geom";"data_source"
"1";"dog_park";"POINT (37.6451702 55.7771928)";"OpenStreetMap"
"2";"dog_park";"POINT (37.7257433 55.8100704)";"OpenStreetMap"
"3";"dog_park";"POINT (37.8353049 55.9273394)";"OpenStreetMap"
"4";"dog_park";"POINT (37.5081168 55.8352601)";"OpenStreetMap"
"5";"dog_park";"POINT (37.65885 55.808838)";"OpenStreetMap"
"6";"dog_park";"POINT (37.6236236 55.6667086)";"OpenStreetMap"
"7";"dog_park";"POINT (37.5557529 55.7632171)";"OpenStreetMap"
"8";"dog_park";"POINT (37.5732921 55.7622197)";"OpenStreetMap"
"9";"dog_park";"POINT (37.7862329 55.4434613)";"OpenStreetMap"
"10";"dog_park";"POINT (37.598573 55.6664307)";"OpenStreetMap"
"11";"dog_park";"POINT (37.8939587 55.6721109)";"OpenStreetMap"
"12";"dog_park";"POINT (37.6847739 55.7511412)";"OpenStreetMap"
"13";"dog_park";"POINT (37.7684761 55.7877933)";"OpenStreetMap"
"14";"dog_park";"POINT (37.6147105 55.7344645)";"OpenStreetMap"
"15";"dog_park";"POINT (37.4804519 55.7984728)";"OpenStreetMap"
"16";"dog_park";"POINT (38.0099675 55.6697286)";"OpenStreetMap"
"17";"dog_park";"POINT (37.4492827 55.8111914)";"OpenStreetMap"
"18";"dog_park";"POINT (37.5896427 55.6612333)";"OpenStreetMap"
"19";"dog_park";"POINT (37.6252582 55.7225426)";"OpenStreetMap"
"20";"dog_park";"POINT (37.5298568 55.8859803)";"OpenStreetMap"
"21";"dog_park";"POINT (37.4610309 55.8341259)";"OpenStreetMap"
"22";"dog_park";"POINT (37.6079768 55.8245901)";"OpenStreetMap"
"23";"dog_park";"POINT (37.676408 55.6401083)";"OpenStreetMap"
"24";"dog_park";"POINT (37.3865926 55.7995201)";"OpenStreetMap"
"25";"dog_park";"POINT (37.7015342 55.8146756)";"OpenStreetMap"
"26";"dog_park";"POINT (37.6232823 55.7237658)";"OpenStreetMap"
"27";"dog_park";"POINT (37.5831288 55.807255)";"OpenStreetMap"
"28";"dog_park";"POINT (37.7137739 55.8213588)";"OpenStreetMap"
"29";"dog_park";"POINT (38.2527696 55.722856)";"OpenStreetMap"
"30";"dog_park";"POINT (37.42851632275322 55.74753402780567)";"data.mos"
"31";"dog_park";"POINT (37.49656148612137 55.6858265976846)";"data.mos"
"32";"dog_park";"POINT (37.471407 55.681276)";"data.mos"
"33";"dog_park";"POINT (37.532932131282685 55.8768237803245)";"data.mos"
"34";"dog_park";"POINT (37.62480835581937 55.896571717105644)";"data.mos"
"35";"dog_park";"POINT (37.828682635581885 55.730020244012785)";"data.mos"
"36";"dog_park";"POINT (37.657761 55.806246)";"data.mos"
"37";"dog_park";"POINT (37.448911 55.866858)";"data.mos"
"38";"dog_park";"POINT (37.652009 55.663942)";"data.mos"
"39";"dog_park";"POINT (37.710750341623644 55.63498484905294)";"data.mos"
"40";"dog_park";"POINT (37.65806102083189 55.87372209385367)";"data.mos"
"41";"dog_park";"POINT (37.655966 55.873021)";"data.mos"
"42";"dog_park";"POINT (37.796348 55.800985)";"data.mos"
"43";"dog_park";"POINT (37.66353692394222 55.878973429993735)";"data.mos"
"44";"dog_park";"POINT (37.54407 55.760458)";"data.mos"
"45";"dog_park";"POINT (37.701564 55.81445)";"data.mos"
"46";"dog_park";"POINT (37.725699 55.810909)";"data.mos"
"47";"dog_park";"POINT (37.713681 55.82141)";"data.mos"
"48";"dog_park";"POINT (37.827138 55.748947)";"data.mos"
"49";"dog_park";"POINT (37.813254 55.744427)";"data.mos"
"50";"dog_park";"POINT (37.813624 55.744306)";"data.mos"
"51";"dog_park";"POINT (37.498289 55.674898)";"data.mos"
"52";"dog_park";"POINT (37.792551 55.750601)";"data.mos"
"53";"dog_park";"POINT (37.821592 55.771007)";"data.mos"
"54";"dog_park";"POINT (37.826884 55.756447)";"data.mos"
"55";"dog_park";"POINT (37.838485 55.753394)";"data.mos"
"56";"dog_park";"POINT (37.739309 55.781415)";"data.mos"
"57";"dog_park";"POINT (37.840697 55.7734)";"data.mos"
"58";"dog_park";"POINT (37.839574 55.761379)";"data.mos"
"59";"dog_park";"POINT (37.821993 55.761138)";"data.mos"
"60";"dog_park";"POINT (37.821631 55.759767)";"data.mos"
"61";"dog_park";"POINT (37.767286 55.796385)";"data.mos"
"62";"dog_park";"POINT (37.733767 55.766742)";"data.mos"
"63";"dog_park";"POINT (37.74027 55.766787)";"data.mos"
"64";"dog_park";"POINT (37.757466 55.742368)";"data.mos"
"65";"dog_park";"POINT (37.794103 55.755646)";"data.mos"
"66";"dog_park";"POINT (37.784138 55.813399)";"data.mos"
"67";"dog_park";"POINT (37.775532 55.753362)";"data.mos"
"68";"dog_park";"POINT (37.790473 55.754972)";"data.mos"
"69";"dog_park";"POINT (37.73268 55.798759)";"data.mos"
"70";"dog_park";"POINT (37.733567 55.798263)";"data.mos"
"71";"dog_park";"POINT (37.713698 55.789717)";"data.mos"
"72";"dog_park";"POINT (37.71213 55.802808)";"data.mos"
"73";"dog_park";"POINT (37.720427 55.802584)";"data.mos"
"74";"dog_park";"POINT (37.880137 55.713519)";"data.mos"
"75";"dog_park";"POINT (37.884176 55.713713)";"data.mos"
"76";"dog_park";"POINT (37.893719 55.711358)";"data.mos"
"77";"dog_park";"POINT (37.902154 55.719798)";"data.mos"
"78";"dog_park";"POINT (37.910828 55.722707)";"data.mos"
"79";"dog_park";"POINT (37.898314 55.717102)";"data.mos"
"80";"dog_park";"POINT (37.844265 55.735417)";"data.mos"
"81";"dog_park";"POINT (37.863558 55.734483)";"data.mos"
"82";"dog_park";"POINT (37.84946 55.74395)";"data.mos"
"83";"dog_park";"POINT (37.79197 55.80681)";"data.mos"
"84";"dog_park";"POINT (37.564101 55.793256)";"data.mos"
"85";"dog_park";"POINT (37.77703 55.80532)";"data.mos"
"86";"dog_park";"POINT (37.80649 55.80446)";"data.mos"
"87";"dog_park";"POINT (37.80559 55.80837)";"data.mos"
"88";"dog_park";"POINT (37.82621 55.80899)";"data.mos"
"89";"dog_park";"POINT (37.78388 55.80652)";"data.mos"
"90";"dog_park";"POINT (37.768012 55.803776)";"data.mos"
"91";"dog_park";"POINT (37.697756 55.799312)";"data.mos"
"92";"dog_park";"POINT (37.699828 55.789899)";"data.mos"
"93";"dog_park";"POINT (37.511715 55.669474)";"data.mos"
"94";"dog_park";"POINT (37.820476 55.741277)";"data.mos"
